"","odds_ratio","2.5 %","97.5 %"
"(Intercept)",0.0572469971832977,0.024613214997801,0.132594625722294
"charisma_score",1.95261678103417,1.79888874966416,2.12350742804613
"familiarity",1.31566894377104,1.07798364065298,1.60605228686478
